run,epoch,lr,bs,loss,cw,balance,arch,seed,eval_loss,macro_f1,accuracy,r_supp,r_neut,r_opp,cm
lora_tg_all,5.0,0.0002,32,ce,effnum,over,lora,42,0.7977856397628784,0.7308989029259522,0.871585557299843,0.5728476821192053,0.9276366435719784,0.6771929824561403,"[[173, 129, 0], [72, 2410, 116], [12, 80, 193]]"
lora_r32,0,0.0002,32,ce,effnum,over,lora,42,0.5989163517951965,0.6554768985148732,0.8285714285714286,0.5562913907284768,0.8945342571208622,0.5157894736842106,"[[168, 134, 0], [69, 2324, 205], [14, 124, 147]]"
lora_r32,1.0,0.0002,32,ce,effnum,over,lora,42,0.4725296199321747,0.704215962184643,0.8216640502354788,0.8443708609271523,0.8267898383371824,0.7508771929824561,"[[255, 42, 5], [221, 2148, 229], [17, 54, 214]]"
lora_r32,2.0,0.0002,32,ce,effnum,over,lora,42,0.514707624912262,0.7223443171743473,0.8467817896389325,0.7450331125827815,0.8714395688991532,0.7298245614035088,"[[225, 72, 5], [143, 2264, 191], [15, 62, 208]]"
lora_r32,3.0,0.0002,32,ce,effnum,over,lora,42,0.5859875679016113,0.7324838556357443,0.8574568288854003,0.7019867549668874,0.8895304080061586,0.7298245614035088,"[[212, 84, 6], [111, 2311, 176], [10, 67, 208]]"
lora_r32,4.0,0.0002,32,ce,effnum,over,lora,42,0.6601958274841309,0.7317349789229793,0.8599686028257457,0.6688741721854304,0.8972286374133949,0.7228070175438597,"[[202, 96, 4], [113, 2331, 154], [9, 70, 206]]"
lora_r32,5.0,0.0002,32,ce,effnum,over,lora,42,0.6728033423423767,0.7323255903484175,0.8627943485086342,0.6490066225165563,0.9041570438799076,0.712280701754386,"[[196, 103, 3], [104, 2349, 145], [9, 73, 203]]"
lora_r32,5.0,0.0002,32,ce,effnum,over,lora,42,0.5859875679016113,0.7324838556357443,0.8574568288854003,0.7019867549668874,0.8895304080061586,0.7298245614035088,"[[212, 84, 6], [111, 2311, 176], [10, 67, 208]]"
lora_lr1e4,0,0.0001,32,ce,effnum,over,lora,42,0.5989163517951965,0.6554768985148732,0.8285714285714286,0.5562913907284768,0.8945342571208622,0.5157894736842106,"[[168, 134, 0], [69, 2324, 205], [14, 124, 147]]"
lora_lr1e4,1.0,0.0001,32,ce,effnum,over,lora,42,0.4903160035610199,0.693447177543256,0.8097331240188383,0.8841059602649006,0.8083140877598153,0.743859649122807,"[[267, 32, 3], [267, 2100, 231], [23, 50, 212]]"
lora_lr1e4,2.0,0.0001,32,ce,effnum,over,lora,42,0.5003299117088318,0.7082232763984374,0.8248037676609106,0.8443708609271523,0.829869130100077,0.7578947368421053,"[[255, 44, 3], [208, 2156, 234], [20, 49, 216]]"
lora_lr1e4,3.0,0.0001,32,ce,effnum,over,lora,42,0.5053136944770813,0.721011796778081,0.8408163265306122,0.7947019867549668,0.8575827559661278,0.7368421052631579,"[[240, 59, 3], [171, 2228, 199], [15, 60, 210]]"
lora_lr1e4,4.0,0.0001,32,ce,effnum,over,lora,42,0.5665772557258606,0.717546667821446,0.8351648351648352,0.8079470198675497,0.8471901462663587,0.7543859649122807,"[[244, 55, 3], [178, 2201, 219], [15, 55, 215]]"
lora_lr1e4,5.0,0.0001,32,ce,effnum,over,lora,42,0.5576179027557373,0.7200477312403599,0.8405023547880691,0.7748344370860927,0.859122401847575,0.7403508771929824,"[[234, 66, 2], [159, 2232, 207], [13, 61, 211]]"
lora_lr1e4,5.0,0.0001,32,ce,effnum,over,lora,42,0.5053136944770813,0.721011796778081,0.8408163265306122,0.7947019867549668,0.8575827559661278,0.7368421052631579,"[[240, 59, 3], [171, 2228, 199], [15, 60, 210]]"
lora_lr3e4,0,0.0003,32,ce,effnum,over,lora,42,0.5989163517951965,0.6554768985148732,0.8285714285714286,0.5562913907284768,0.8945342571208622,0.5157894736842106,"[[168, 134, 0], [69, 2324, 205], [14, 124, 147]]"
lora_lr3e4,1.0,0.0003,32,ce,effnum,over,lora,42,0.4810183644294739,0.7035441614671097,0.8244897959183674,0.8178807947019867,0.8337182448036952,0.7473684210526316,"[[247, 49, 6], [226, 2166, 206], [22, 50, 213]]"
lora_lr3e4,2.0,0.0003,32,ce,effnum,over,lora,42,0.5653728246688843,0.7211443206124057,0.8502354788069074,0.6920529801324503,0.8818321785989223,0.7298245614035088,"[[209, 88, 5], [133, 2291, 174], [14, 63, 208]]"
lora_lr3e4,3.0,0.0003,32,ce,effnum,over,lora,42,0.7124607563018799,0.7164971037587442,0.8499215070643642,0.6622516556291391,0.8876058506543495,0.7052631578947368,"[[200, 97, 5], [122, 2306, 170], [8, 76, 201]]"
lora_lr3e4,4.0,0.0003,32,ce,effnum,over,lora,42,0.750270426273346,0.7247562877366885,0.8580847723704866,0.6556291390728477,0.8999230177059276,0.6912280701754386,"[[198, 100, 4], [110, 2338, 150], [8, 80, 197]]"
lora_lr3e4,5.0,0.0003,32,ce,effnum,over,lora,42,0.7810047268867493,0.7321913663685309,0.8684458398744113,0.6125827814569537,0.9183987682832948,0.6842105263157895,"[[185, 113, 4], [89, 2386, 123], [9, 81, 195]]"
lora_lr3e4,5.0,0.0003,32,ce,effnum,over,lora,42,0.7810047268867493,0.7321913663685309,0.8684458398744113,0.6125827814569537,0.9183987682832948,0.6842105263157895,"[[185, 113, 4], [89, 2386, 123], [9, 81, 195]]"
lora_large,0,0.0002,16,ce,effnum,over,lora,42,0.5008003115653992,0.7181501985377222,0.8734693877551021,0.5960264900662252,0.9430331023864511,0.5333333333333333,"[[180, 122, 0], [81, 2450, 67], [13, 120, 152]]"
lora_large,1.0,0.0002,16,ce,effnum,over,lora,42,0.42125335335731506,0.7487131239599546,0.8612244897959184,0.8178807947019867,0.8795227097767514,0.7403508771929824,"[[247, 53, 2], [158, 2285, 155], [14, 60, 211]]"
lora_large,2.0,0.0002,16,ce,effnum,over,lora,42,0.5297264456748962,0.770478721612783,0.8813186813186813,0.7516556291390728,0.9130100076982294,0.7298245614035088,"[[227, 74, 1], [103, 2372, 123], [8, 69, 208]]"
lora_large,3.0,0.0002,16,ce,effnum,over,lora,42,0.6022598743438721,0.7782150442635863,0.8963893249607535,0.6986754966887417,0.947652040030793,0.6385964912280702,"[[211, 90, 1], [72, 2462, 64], [8, 95, 182]]"
lora_large,4.0,0.0002,16,ce,effnum,over,lora,42,0.7203684449195862,0.782591643520231,0.895447409733124,0.7350993377483444,0.939183987682833,0.6666666666666666,"[[222, 79, 1], [87, 2440, 71], [10, 85, 190]]"
lora_large,5.0,0.0002,16,ce,effnum,over,lora,42,0.790291428565979,0.7795597466279697,0.8948194662480377,0.7019867549668874,0.9418783679753656,0.6701754385964912,"[[212, 89, 1], [77, 2447, 74], [8, 86, 191]]"
lora_large,5.0,0.0002,16,ce,effnum,over,lora,42,0.7203684449195862,0.782591643520231,0.895447409733124,0.7350993377483444,0.939183987682833,0.6666666666666666,"[[222, 79, 1], [87, 2440, 71], [10, 85, 190]]"
full_frz10,0,1e-05,32,ce,effnum,over,full,42,0.5989163517951965,0.6554768985148732,0.8285714285714286,0.5562913907284768,0.8945342571208622,0.5157894736842106,"[[168, 134, 0], [69, 2324, 205], [14, 124, 147]]"
full_frz10,1.0,1e-05,32,ce,effnum,over,full,42,0.4502580165863037,0.7048304838531578,0.8301412872841444,0.7086092715231788,0.8479599692070824,0.7964912280701755,"[[214, 68, 20], [145, 2203, 250], [10, 48, 227]]"
full_frz10,2.0,1e-05,32,ce,effnum,over,full,42,0.6256580948829651,0.7012530312897431,0.8323390894819466,0.6324503311258278,0.8587374903772133,0.8035087719298246,"[[191, 98, 13], [110, 2231, 257], [11, 45, 229]]"
full_frz10,3.0,1e-05,32,ce,effnum,over,full,42,0.7396932244300842,0.7142948560412629,0.8521193092621664,0.6324503311258278,0.8918398768283294,0.7228070175438597,"[[191, 97, 14], [111, 2317, 170], [12, 67, 206]]"
full_frz10,4.0,1e-05,32,ce,effnum,over,full,42,0.7719230651855469,0.705084707873402,0.8577708006279435,0.5364238410596026,0.9153194765204004,0.6736842105263158,"[[162, 135, 5], [95, 2378, 125], [13, 80, 192]]"
full_frz10,5.0,1e-05,32,ce,effnum,over,full,42,0.7783235311508179,0.7215777276451174,0.8684458398744113,0.5629139072847682,0.9280215550423403,0.6491228070175439,"[[170, 129, 3], [87, 2411, 100], [11, 89, 185]]"
